WORD ENTROPY DISPERSION STD CONCRETENESS
gravestone 254.114813218 0.180557064008 0.85725 4.72
warrior N/A N/A N/A 4.17
nature N/A N/A N/A 2.92
confusion N/A N/A N/A 2.24
ignorance N/A N/A N/A 1.6
harvard N/A N/A N/A N/A
aquarium 282.058149656 0.192818299179 0.86645 4.77
wheelbarrow N/A N/A N/A 4.79
news N/A N/A N/A 3.41
motto N/A N/A N/A 2.48
kitchen 187.427619996 0.161899111522 0.64569 4.97
cop N/A N/A N/A 4.3
protect N/A N/A N/A 2.86
accident N/A N/A N/A 3.26
candidate 229.132882091 0.188682904478 0.77654 3.81
cow N/A N/A N/A 4.96
country N/A N/A N/A 4.17
cod N/A N/A N/A 4.61
cherry N/A N/A N/A 4.62
argue N/A N/A N/A 2.75
tough N/A N/A N/A 2.5
spear N/A N/A N/A 5
gopher 209.813023503 0.159222089732 0.81583 4.67
canyon 207.018929928 0.157717176025 0.72544 4.81
starling 190.388669389 0.153601555896 0.85895 N/A
pregnancy N/A N/A N/A 4.31
blonde N/A N/A N/A 4.52
speak N/A N/A N/A 3.7
bathroom 243.341156892 0.183757424682 0.83983 4.52
beef N/A N/A N/A 4.74
parsley 216.004460906 0.1665273044 0.73893 4.77
tiny N/A N/A N/A 3.11
submarine N/A N/A N/A 4.8
beer 244.036734228 0.189683158083 0.9285 4.88
stadium 244.372435746 0.179863752678 0.8445 4.79
flexible N/A N/A N/A 2.64
life N/A N/A N/A 2.69
mushroom N/A N/A N/A 4.83
droplets N/A N/A N/A N/A
sunshine N/A N/A N/A 4.21
worker 237.192614349 0.187766919484 0.78203 4.59
madhouse N/A N/A N/A 3.1
marijuana N/A N/A N/A 4.89
craft N/A N/A N/A 3.48
child N/A N/A N/A 4.78
aviation N/A N/A N/A 3.39
physician 222.526937168 0.176040511954 0.78595 4.65
tank N/A N/A N/A 4.8
sly N/A N/A N/A 2.03
originate N/A N/A N/A 2.23
air N/A N/A N/A 4.11
lizard N/A N/A N/A 4.68
property N/A N/A N/A 3.9
anchor N/A N/A N/A 4.77
seven N/A N/A N/A 3.72
pyramid N/A N/A N/A 4.96
mexico N/A N/A N/A N/A
sushi 202.121055925 0.177411953313 0.78996 4.96
shame N/A N/A N/A 2.24
cone N/A N/A N/A 4.86
violin 251.75548323 0.190610985737 0.9422 4.96
mouse N/A N/A N/A 4.83
disappear N/A N/A N/A 2.86
memorial 264.132935293 0.192100017128 0.89611 3.68
soldier N/A N/A N/A 4.72
make N/A N/A N/A 2.67
toaster 263.445725716 0.190651413393 0.89145 4.9
belly N/A N/A N/A 4.8
big N/A N/A N/A 3.66
bunny 273.485838736 0.193270667878 0.95457 4.97
wheel N/A N/A N/A 4.86
moose 204.675502109 0.161662612023 0.83219 4.97
rail N/A N/A N/A 4.9
rain N/A N/A N/A 4.97
hand N/A N/A N/A 4.72
waterfall N/A N/A N/A 4.9
garlic 252.638779092 0.1965533056 0.9072 4.89
supper N/A N/A N/A 4.63
tuna 281.591087739 0.198664075419 0.94125 4.89
kid N/A N/A N/A 4.56
butter N/A N/A N/A 4.9
ocean N/A N/A N/A 4.86
mother N/A N/A N/A 4.6
jean 211.741587852 0.176771393478 0.91227 4.69
left N/A N/A N/A 3.7
snowman N/A N/A N/A 4.64
yen N/A N/A N/A 4.04
victim N/A N/A N/A 3.59
cape 250.85597981 0.188459445517 0.92797 4.77
elk 217.427907397 0.168622255274 0.85988 4.93
sunflower 156.605757058 0.147469554631 0.78443 4.8
legion N/A N/A N/A 2.69
photographer N/A N/A N/A 4.76
boot N/A N/A N/A 4.96
board N/A N/A N/A 4.57
easy N/A N/A N/A 2.07
save N/A N/A N/A 2.42
hat N/A N/A N/A 4.88
vulture N/A N/A N/A 4.73
boxer 227.533592594 0.181276026991 0.87567 4.63
destroy N/A N/A N/A 3.08
partridge 213.971999854 0.165275878543 0.87542 4
shadow N/A N/A N/A 4.54
shoulder N/A N/A N/A 4.93
colour N/A N/A N/A N/A
lily N/A N/A N/A 4.69
nude N/A N/A N/A 4.28
unnecessary N/A N/A N/A 1.56
competence N/A N/A N/A 1.78
remind N/A N/A N/A 2.19
night N/A N/A N/A 4.52
butterfly N/A N/A N/A 4.93
attorney 176.811468155 0.15785546684 0.71478 4.52
right N/A N/A N/A 3.47
old N/A N/A N/A 2.72
crowd N/A N/A N/A 4.52
people N/A N/A N/A 4.82
crown N/A N/A N/A 4.81
dead N/A N/A N/A 4.07
born N/A N/A N/A 3.22
trombone 262.950384941 0.19264558693 0.9174 4.9
dense N/A N/A N/A 3.14
bottom N/A N/A N/A 4.25
purple N/A N/A N/A 4.04
fox N/A N/A N/A 4.97
ice N/A N/A N/A 4.89
fog N/A N/A N/A 4.66
landscape N/A N/A N/A 4.34
christmas N/A N/A N/A 3.41
cord N/A N/A N/A 4.63
bold N/A N/A N/A 2.43
peel N/A N/A N/A 4.61
corn N/A N/A N/A 4.96
burn N/A N/A N/A 4.11
cork N/A N/A N/A 4.86
pliers 288.470699358 0.204399999962 0.95303 4.93
chapter N/A N/A N/A 3.43
diner 232.976432236 0.18412813871 0.77407 4.82
plum N/A N/A N/A 4.85
palestinian N/A N/A N/A N/A
choke N/A N/A N/A 3.97
magazine 247.122024504 0.190225473527 0.93924 5
despair N/A N/A N/A 2.21
banker 200.655522396 0.172034834526 0.76079 4.43
horizon N/A N/A N/A 4.44
cherish N/A N/A N/A 1.73
octopus 267.075637257 0.193162069704 0.89184 5
hospital N/A N/A N/A 4.64
nerve N/A N/A N/A 3.89
impartiality N/A N/A N/A 1.42
beetles N/A N/A N/A N/A
presence N/A N/A N/A 2.72
profession N/A N/A N/A 2.83
bath N/A N/A N/A 4.85
pair N/A N/A N/A 3.88
guppy 257.553810393 0.179761133654 0.89048 4.88
fabric N/A N/A N/A 4.63
panorama N/A N/A N/A 3.41
tennis 242.083998241 0.182697055655 0.86809 4.43
sunlight N/A N/A N/A 4.45
payment N/A N/A N/A 3.91
way N/A N/A N/A 2.34
gin N/A N/A N/A 4.46
war N/A N/A N/A 3.63
happy N/A N/A N/A 2.56
fork N/A N/A N/A 4.9
head N/A N/A N/A 4.75
medium N/A N/A N/A 3
fireworks N/A N/A N/A 4.86
deny N/A N/A N/A 2.2
ford N/A N/A N/A 4.19
hear N/A N/A N/A 3.66
otter 232.539700467 0.178718409127 0.86202 4.86
type N/A N/A N/A 3.3
whiskey 215.200768856 0.179741323016 0.87948 4.74
temper N/A N/A N/A 2.56
proud N/A N/A N/A 2.07
fury N/A N/A N/A 2.89
abstract N/A N/A N/A 1.45
tournament N/A N/A N/A 4.11
evidence N/A N/A N/A 3.65
ship N/A N/A N/A 4.87
tooth 287.615282216 0.208064221408 1.022 4.89
archive N/A N/A N/A 3.58
floor N/A N/A N/A 4.8
actor 237.192614349 0.187766919484 0.78203 4.57
reality N/A N/A N/A 1.72
flood N/A N/A N/A 4.62
tin N/A N/A N/A 4.87
tie N/A N/A N/A 4.81
shrink N/A N/A N/A 3.55
picture N/A N/A N/A 4.52
toad 256.439278747 0.188995306072 0.93825 5
football 214.148681704 0.177965306807 0.86203 4.73
polite N/A N/A N/A 1.85
